time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,0,0,1,1
2025-08-27 00:00:00+00:00,1,1,25,2
2025-08-28 00:00:00+00:00,0,0,9,2
2025-08-29 00:00:00+00:00,1,1,5,2
2025-08-30 00:00:00+00:00,1,1,3,2
2025-08-31 00:00:00+00:00,0,0,3,2
2025-09-01 00:00:00+00:00,2,2,4,4
2025-09-02 00:00:00+00:00,0,0,11,1
2025-09-03 00:00:00+00:00,0,0,20,6
2025-09-04 00:00:00+00:00,2,2,5,1
2025-09-05 00:00:00+00:00,0,0,3,2
2025-09-06 00:00:00+00:00,1,1,7,2
2025-09-07 00:00:00+00:00,11,11,1,1
2025-09-08 00:00:00+00:00,6,4,4,1
2025-09-09 00:00:00+00:00,3,3,6,3
2025-09-10 00:00:00+00:00,3,3,0,0
2025-09-11 00:00:00+00:00,6,6,10,4
2025-09-12 00:00:00+00:00,4,4,0,0
2025-09-13 00:00:00+00:00,8,7,0,0
2025-09-14 00:00:00+00:00,2,1,2,1
